Ppv,Pdg,Pch,Pdch,SOC,Pbuy,Psell,Eload,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
1.2201931739523848e-13,0.0,0.0,0.0,0,0.0,0.0,1863.0715886860366,1.2201931739523848e-13,0.07054,0.1635,1863.0715886860366,338.34679010817354,-5.4,10
1.1518921909946234e-14,0.0,0.0,0.0,0,0.0,0.0,1784.1149178746562,1.1518921909946234e-14,0.07054,0.1635,1784.1149178746562,31.93257673635567,-6.7,10
7.961233796464715e-14,0.0,0.0,0.0,0,0.0,0.0,1775.5733911095303,7.961233796464715e-14,0.07054,0.1635,1775.5733911095303,220.72170956678934,-7.9,10
5.462849291593184e-14,0.0,0.0,0.0,0,0.0,0.0,1911.240695057104,5.462849291593184e-14,0.07054,0.1635,1911.240695057104,151.44265963529227,-9.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2417.0638970606383,0.0,0.07054,0.1635,2417.0638970606383,0.0,-9.6,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3376.293142388028,0.0,0.07054,0.1635,3376.293142388028,0.0,-11.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3925.4036513428055,0.0,0.07054,0.1635,3925.4036513428055,0.0,-11.7,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3827.940699700224,0.0,0.07054,0.1635,3827.940699700224,0.0,-11.8,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3567.693421812176,0.0,0.07054,0.1635,3567.693421812176,0.0,-11.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3278.6355243972926,0.0,0.07054,0.1635,3278.6355243972926,0.0,-11.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2702.682688991463,0.0,0.07054,0.1635,2702.682688991463,0.0,-11.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2140.4797866435974,0.0,0.07054,0.1635,2140.4797866435974,0.0,-12.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1576.570309310246,0.0,0.07054,0.1635,1576.570309310246,0.0,-12.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1357.7674969442467,0.0,0.07054,0.1635,1357.7674969442467,0.0,-12.2,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1278.410678639438,0.0,0.07054,0.1635,1278.410678639438,0.0,-12.6,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1259.9281903618999,0.0,0.07054,0.1635,1259.9281903618999,0.0,-13.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1265.655706916484,0.0,0.07054,0.1635,1265.655706916484,0.0,-13.4,10
